Name,Repo Link,Region,Elevation,Lat/Long,x,y
Minna Bluff,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Minna+Bluff%22&tags=Automatic+weather+stations,Ross Island Vicinity,895m,-78.554S / 166.691E,166.691,-78.554
Mizuho,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Mizuho%22&tags=Automatic+weather+stations,High Polar Plateau,2260m,-70.700S / 44.290E,44.29,-70.7
Mount Erebus,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Erebus%22&tags=Automatic+weather+stations,Ross Island Vicinity,3700m,-77.530S / 167.130E,167.13,-77.53
Mount Fleming,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Mount+Fleming%22&tags=Automatic+weather+stations,Transantarctic Mountains,1868m,-77.533S / 160.276E,160.276,-77.533
Mount Friis,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Friis%22&tags=Automatic+weather+stations,Transantarctic Mountains,1580m,-77.747S / 161.516E,161.516,-77.747
Mount Howe,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Mount+Howe%22&tags=Automatic+weather+stations,High Polar Plateau,2400m,-87.320S / -149.550W,-149.55,-87.32
Mount Siple,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Mount+Siple%22&tags=Automatic+weather+stations,West Antarctica,230m,-73.198S / -127.052W,-127.052,-73.198
Mulock,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Mulock%22&tags=Automatic+weather+stations,Transantarctic Mountains,378m,-79.018S / 170.819E,170.819,-79.018
Nancy,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Nancy%22&tags=Automatic+weather+stations,Ross Island Vicinity,25m,-77.910S / 168.170E,168.17,-77.91
Nascent,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Nascent%22&tags=Automatic+weather+stations,Ross Ice Shelf,30m,-78.103S / -178.474W,-178.474,-78.103
Neko Harbor,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Neko+Harbor%22&tags=Automatic+weather+stations,Antarctic Peninsula,0m,-64.845S / -62.530W,-62.53,-64.845
Nico,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Nico%22&tags=Automatic+weather+stations,High Polar Plateau,2935m,-89.000S / 89.669E,89.669,-89
Noel/ITASE,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Noel%22&tags=Automatic+weather+stations,West Antarctica,1833m,-79.334S / -111.077W,-111.077,-79.334
PANDA-South,https://amrdcdata.ssec.wisc.edu/dataset?q=%22PANDA-South%22&tags=Automatic+weather+stations',High Polar Plateau,4027m,-82.325S / 75.989E,75.989,-82.325
Pat,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Pat%22&tags=Automatic+weather+stations],Reeves Glacier,30m,-74.880S / 163.100E,163.1,-74.88
Patrick,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Patrick%22&tags=Automatic+weather+stations,High Polar Plateau,2835m,-89.880S / 45.000E,45,-89.88
Pegasus North,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Pegasus+North%22&tags=Automatic+weather+stations,Ross Island Vicinity,8m,-77.952S / 166.500E,166.5,-77.952
Pegasus South,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Pegasus+South%22&tags=Automatic+weather+stations,Ross Island Vicinity,10m,-77.990S / 166.580E,166.58,-77.99
Penguin Point,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Penguin+Point%22&tags=Automatic+weather+stations,Adelie Coast,30m,-67.617S / 146.180E,146.18,-67.617
Peter I,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Peter+I%22&tags=Automatic+weather+stations,Ocean Islands,90m,-68.769S / -90.670W,-90.67,-68.769
Phoenix,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Phoenix%22&tags=Automatic+weather+stations,Ross Island Vicinity,10m,-77.947S / 166.757E,166.757,-77.947
Port Martin,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Port+Martin%22&tags=Automatic+weather+stations,Adelie Coast,39m,-66.820S / 141.390E,141.39,-66.82
Possession Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Possession+Island%22&tags=Automatic+weather+stations,Ocean Islands,30m,-71.891S / 171.210E,171.21,-71.891
Racer Rock,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Racer+Rock%22&tags=Automatic+weather+stations,Antarctic Peninsula,17m,-64.067S / -61.613W,-61.613,-64.067
Recovery Glacier,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Recovery+Glacier%22&tags=Automatic+weather+stations,Antarctic Peninsula,1220m,-80.820S / -22.260W,-22.26,-80.82
Relay Station,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Relay+Station%22&tags=Automatic+weather+stations,High Polar Plateau,3353m,-74.017S / 43.062E,43.062,-74.017
Sabrina,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sabrina%22&tags=Automatic+weather+stations,Ross Ice Shelf,88m,-84.250S / -169.987W,-169.987,-84.25
Sandra,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sandra%22&tags=Automatic+weather+stations,Reeves Glacier,1525m,-74.490S / 160.490E,160.49,-74.49
Santa Claus Island (Hugo Island),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Santa+Claus%22&tags=Automatic+weather+stations,Antarctic Peninsula,25m,-64.964S / -65.670W,-65.67,-64.964
Sarah,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sarah%22&tags=Automatic+weather+stations,Ross Island Vicinity,14m,-77.866S / 166.983E,166.983,-77.866
Schwerdtfeger,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Schwerdtfeger%22&tags=Automatic+weather+stations,Ross Ice Shelf,54m,-79.816S / 170.358E,170.358,-79.816
Scott Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Scott+Island%22&tags=Automatic+weather+stations,Ocean Islands,30m,-67.370S / -179.970W,-179.97,-67.37
Shristi,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Shristi%22&tags=Automatic+weather+stations,Reeves Glacier,1200m,-74.700S / 161.570E,161.57,-74.7
Siple Dome,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Siple+Dome%22&tags=Automatic+weather+stations,West Antarctica,620m,-81.660S / -148.770W,-148.77,-81.66
Siple Station,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Siple+Station%22&tags=Automatic+weather+stations,West Antarctica,1054m,-75.900S / -83.920W,-83.92,-75.9
Ski-Hi,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Ski-Hi%22&tags=Automatic+weather+stations,Antarctic Peninsula,1395m,-74.980S / -70.770W,-70.77,-74.98
Sky-Blu,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sky-Blu%22&tags=Automatic+weather+stations,Antarctic Peninsula,1510m,-74.792S / -71.488W,-71.488,-74.792
South Pole,https://amrdcdata.ssec.wisc.edu/dataset?q=%22South+Pole%22&tags=Automatic+weather+stations,High Polar Plateau,2806.38m,-89.997S / 41.631E,41.631,-89.997
Spine,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Spine%22&tags=Automatic+weather+stations,Antarctic Peninsula,1540m,-67.650S / -66.070W,-66.07,-67.65
Sushila,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sushila%22&tags=Automatic+weather+stations,Reeves Glacier,1441m,-74.410S / 161.310E,161.31,-74.41
Sutton,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Sutton%22&tags=Automatic+weather+stations,Adelie Coast,871m,-67.080S / 141.370E,141.37,-67.08
Swithinbank,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Swithinbank%22&tags=Automatic+weather+stations,West Antarctica,945m,-81.200S / -126.170W,-126.17,-81.2
Theresa,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Theresa%22&tags=Automatic+weather+stations,West Antarctica,1453.898m,-84.602S / -115.846W,-115.846,-84.602
Thurston Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Thurston+Island%22&tags=Automatic+weather+stations,West Antarctica,145m,-72.532S / -97.545W,-97.545,-72.532
Tiffany (White Island),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Tiffany%22&tags=Automatic+weather+stations,Ross Island Vicinity,25m,-77.950S / 166.170E,166.17,-77.95
Tom,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Tom%22&tags=Automatic+weather+stations,Ross Ice Shelf,80m,-84.430S / -171.455W,-171.455,-84.43
Uranus Glacier,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Uranus+Glacier%22&tags=Automatic+weather+stations,Antarctic Peninsula,753m,-71.361S / -68.797W,-68.797,-71.361
Vito,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Vito%22&tags=Automatic+weather+stations,Ross Ice Shelf,50.045m,-78.408S / 177.829E,177.829,-78.408
White Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22White+Island%22&tags=Automatic+weather+stations,Ross Island Vicinity,686m,-78.076S / 167.451E,167.451,-78.076
Whitlock (Franklin Island),https://amrdcdata.ssec.wisc.edu/dataset?q=%22Whitlock%22&tags=Automatic+weather+stations,Ocean Islands,274m,-76.100S / 168.300E,168.3,-76.1
Willie Field,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Willie+Field%22&tags=Automatic+weather+stations,Ross Island Vicinity,9m,-77.868S / 166.921E,166.921,-77.868
Windless Bight,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Windless+Bight%22&tags=Automatic+weather+stations,Ross Island Vicinity,61m,-77.730S / 167.700E,167.7,-77.73
Young Island,https://amrdcdata.ssec.wisc.edu/dataset?q=%22Young+Island%22&tags=Automatic+weather+stations,Ocean Islands,30m,-66.229S / 162.275E,162.275,-66.229
